Profile,Mean_Cosine,Median_Cosine,Partido,Estado,total_posts_profile_antes_filtro,total_posts_profile_depois_filtro,num_publicacoes_neste_df
Hugo Motta,0.11077503913483137,0.000410155656293314,REPUBLICANOS,,218,13,13
Tarcísio Motta,0.11065249193518055,0.00026125192372560837,PSOL,,1212,149,149
Ricardo Guidi,0.11026253039230755,-9.102091612397917e-06,PL,,257,12,12
Raimundo Santos,0.11024535641928418,0.0001975269486830637,PSD,,227,16,16
Gilson Daniel,0.11019800939621915,0.0003981009601656603,PODEMOS,,1421,48,48
Meire Serafim,0.10998117709114304,-9.652261732251075e-06,UNIÃO,,474,91,91
Paulinho Freire,0.10983139805564712,0.0007987672341827219,UNIÃO,,321,71,70
Aureo Ribeiro,0.10969294266975925,0.0008095129353345352,SOLIDARIEDADE,,419,185,185
Marcos Aurélio Sampaio,0.10965203283036691,0.0005215570386851253,PSD,,359,89,89
José Guimarães,0.10890024655328674,6.004748874595958e-05,PT,,4086,226,226
Miguel Ângelo,0.10850752527843514,0.0017729563191322072,PT,,690,91,91
Hugo Leal,0.10849936802990022,-1.4617626875163093e-06,PSD,,454,66,66
Heitor Schuch,0.10847782694094386,-3.8618579396156306e-06,PSB,,471,114,114
Marcelo Crivella,0.10820409868129258,-1.635845721108573e-05,REPUBLICANOS,,324,35,35
Orlando Silva,0.1080850353526835,0.00030194889599718445,PCdoB,,591,101,101
Lebrão,0.10760780952965077,0.0007345597820880241,UNIÃO,,68,9,9
Icaro de Valmir,0.10753966385904368,0.00176872706248812,PL,,299,60,60
Isnaldo Bulhões Jr.,0.10707443500553163,0.0009816086684924896,MDB,,235,35,35
Vinicius Carvalho,0.10667417327822448,-1.667961436964013e-05,REPUBLICANOS,,886,75,75
Daniel Barbosa,0.10667209189222321,0.0015337941073924949,PP,,336,58,58
Dilceu Sperafico,0.10622562018390704,1.7239280783852205e-05,PP,,202,8,8
Vicentinho Júnior,0.10613207695247646,0.00032903336380539494,PP,,641,75,75
Ricardo Silva,0.10604819976230272,9.464908171360767e-06,PSD,,228,33,33
Wilson Santiago,0.10587139020276921,0.0024352242549912865,REPUBLICANOS,,403,66,65
Zé Silva,0.10570498571610948,0.00028264133974670953,SOLIDARIEDADE,,1168,245,245
Andreia Siqueira,0.10553922579753713,0.00038249093402498017,MDB,,511,96,96
Rodrigo de Castro,0.10539845002879285,0.0007553769470652194,UNIÃO,,133,35,35
Fernando Mineiro,0.10519963421596476,0.0003424966572341717,PT,,683,123,123
Otto Alencar Filho,0.1048750475682782,0.0009093846605572757,PSD,,219,27,27
Diego Garcia,0.10472462040031727,0.00013073258952868617,REPUBLICANOS,,1075,200,200
Jandira Feghali,0.10450354266405364,0.00013392741268841165,PCdoB,,1508,208,208
Diego Andrade,0.10414054229700295,4.072795935762159e-05,PSD,,364,69,69
AJ Albuquerque,0.10374766512627462,5.322944331587545e-05,PP,,70,6,6
Leo Prates,0.10367262288112962,1.9668458807288852e-05,PDT,,468,103,103
Ivoneide Caetano,0.10359513224278219,1.924656744623602e-05,PT,,402,68,68
Luis Tibé,0.1034917458933127,0.0003740251579863145,AVANTE,,93,6,6
Franciane Bayer,0.1031832580361533,0.00036885279334054216,REPUBLICANOS,,530,98,98
Keniston Braga,0.10308675713899404,0.0002994026687788136,MDB,,289,56,56
Fernanda Pessoa,0.1029795785947109,1.992016195976679e-05,UNIÃO,,314,60,60
Marussa Boldrin,0.10269019222082792,0.0004094420577228481,MDB,,505,97,97
Gilson Marques,0.1026578837199146,0.00010349968563507644,NOVO,,348,18,18
