id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
73993,https://dadosabertos.camara.leg.br/api/v2/deputados/73993,ARNALDO MADEIRA,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,51,https://www.camara.leg.br/internet/deputado/bandep/73993.jpg,
74291,https://dadosabertos.camara.leg.br/api/v2/deputados/74291,ARNON BEZERRA,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,CE,51,https://www.camara.leg.br/internet/deputado/bandep/74291.jpg,
74833,https://dadosabertos.camara.leg.br/api/v2/deputados/74833,AROLDE DE OLIVEIRA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,RJ,51,https://www.camara.leg.br/internet/deputado/bandep/74833.jpg,
74534,https://dadosabertos.camara.leg.br/api/v2/deputados/74534,AROLDO CEDRAZ,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,BA,51,https://www.camara.leg.br/internet/deputado/bandep/74534.jpg,
74089,https://dadosabertos.camara.leg.br/api/v2/deputados/74089,ARTHUR VIRGÍLIO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,AM,51,https://www.camara.leg.br/internet/deputado/bandep/74089.jpg,
73683,https://dadosabertos.camara.leg.br/api/v2/deputados/73683,ARY JOSÉ VANAZZI,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RS,51,https://www.camara.leg.br/internet/deputado/bandep/73683.jpg,
73435,https://dadosabertos.camara.leg.br/api/v2/deputados/73435,ARY KARA,PPB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,SP,51,https://www.camara.leg.br/internet/deputado/bandep/73435.jpg,
74222,https://dadosabertos.camara.leg.br/api/v2/deputados/74222,ASDRUBAL BENTES,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PA,51,https://www.camara.leg.br/internet/deputado/bandep/74222.jpg,
74090,https://dadosabertos.camara.leg.br/api/v2/deputados/74090,ÁTILA LINS,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,AM,51,https://www.camara.leg.br/internet/deputado/bandep/74090.jpg,
74459,https://dadosabertos.camara.leg.br/api/v2/deputados/74459,ÁTILA LIRA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PI,51,https://www.camara.leg.br/internet/deputado/bandep/74459.jpg,
74441,https://dadosabertos.camara.leg.br/api/v2/deputados/74441,AUGUSTO FARIAS,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36811,AL,51,https://www.camara.leg.br/internet/deputado/bandep/74441.jpg,
74561,https://dadosabertos.camara.leg.br/api/v2/deputados/74561,AUGUSTO FRANCO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SE,51,https://www.camara.leg.br/internet/deputado/bandep/74561.jpg,
73889,https://dadosabertos.camara.leg.br/api/v2/deputados/73889,AUGUSTO NARDES,PPB,https://dadosabertos.camara.leg.br/api/v2/partidos/36811,RS,51,https://www.camara.leg.br/internet/deputado/bandep/73889.jpg,
74465,https://dadosabertos.camara.leg.br/api/v2/deputados/74465,AVENZOAR ARRUDA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PB,51,https://www.camara.leg.br/internet/deputado/bandep/74465.jpg,
74024,https://dadosabertos.camara.leg.br/api/v2/deputados/74024,AYRTON XEREZ,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,RJ,51,https://www.camara.leg.br/internet/deputado/bandep/74024.jpg,
74312,https://dadosabertos.camara.leg.br/api/v2/deputados/74312,B. SÁ,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36813,PI,51,https://www.camara.leg.br/internet/deputado/bandep/74312.jpg,
74349,https://dadosabertos.camara.leg.br/api/v2/deputados/74349,BABÁ,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PA,51,https://www.camara.leg.br/internet/deputado/bandep/74349.jpg,
74342,https://dadosabertos.camara.leg.br/api/v2/deputados/74342,BADU PICANÇO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36795,AP,51,https://www.camara.leg.br/internet/deputado/bandep/74342.jpg,
73663,https://dadosabertos.camara.leg.br/api/v2/deputados/73663,BARBOSA NETO,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,GO,51,https://www.camara.leg.br/internet/deputado/bandep/73663.jpg,
73767,https://dadosabertos.camara.leg.br/api/v2/deputados/73767,BASÍLIO VILLANI,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PR,51,https://www.camara.leg.br/internet/deputado/bandep/73767.jpg,
74814,https://dadosabertos.camara.leg.br/api/v2/deputados/74814,BEN-HUR FERREIRA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,MS,51,https://www.camara.leg.br/internet/deputado/bandep/74814.jpg,
74535,https://dadosabertos.camara.leg.br/api/v2/deputados/74535,BENITO GAMA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,BA,51,https://www.camara.leg.br/internet/deputado/bandep/74535.jpg,
73478,https://dadosabertos.camara.leg.br/api/v2/deputados/73478,BETO ALBUQUERQUE,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,RS,51,https://www.camara.leg.br/internet/deputado/bandep/73478.jpg,
74676,https://dadosabertos.camara.leg.br/api/v2/deputados/74676,BISPO RODRIGUES,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36795,RJ,51,https://www.camara.leg.br/internet/deputado/bandep/74676.jpg,
74702,https://dadosabertos.camara.leg.br/api/v2/deputados/74702,BISPO WANDERVAL,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36795,SP,51,https://www.camara.leg.br/internet/deputado/bandep/74702.jpg,
74650,https://dadosabertos.camara.leg.br/api/v2/deputados/74650,BONIFÁCIO DE ANDRADA,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MG,51,https://www.camara.leg.br/internet/deputado/bandep/74650.jpg,
74577,https://dadosabertos.camara.leg.br/api/v2/deputados/74577,CABO JÚLIO,PL*,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,MG,51,https://www.camara.leg.br/internet/deputado/bandep/74577.jpg,
73479,https://dadosabertos.camara.leg.br/api/v2/deputados/73479,CAIO RIELA,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,RS,51,https://www.camara.leg.br/internet/deputado/bandep/73479.jpg,
74834,https://dadosabertos.camara.leg.br/api/v2/deputados/74834,CANDINHO MATTOS,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RJ,51,https://www.camara.leg.br/internet/deputado/bandep/74834.jpg,
73469,https://dadosabertos.camara.leg.br/api/v2/deputados/73469,CARLITO MERSS,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SC,51,https://www.camara.leg.br/internet/deputado/bandep/73469.jpg,
74321,https://dadosabertos.camara.leg.br/api/v2/deputados/74321,CARLOS ALBERTO ROSADO,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,RN,51,https://www.camara.leg.br/internet/deputado/bandep/74321.jpg,
74473,https://dadosabertos.camara.leg.br/api/v2/deputados/74473,CARLOS BATATA,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PE,51,https://www.camara.leg.br/internet/deputado/bandep/74473.jpg,
73583,https://dadosabertos.camara.leg.br/api/v2/deputados/73583,CARLOS CURY,PPB,https://dadosabertos.camara.leg.br/api/v2/partidos/36811,RO,51,https://www.camara.leg.br/internet/deputado/bandep/73583.jpg,
74466,https://dadosabertos.camara.leg.br/api/v2/deputados/74466,CARLOS DUNGA,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,PB,51,https://www.camara.leg.br/internet/deputado/bandep/74466.jpg,
74474,https://dadosabertos.camara.leg.br/api/v2/deputados/74474,CARLOS EDUARDO CADOCA,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PE,51,https://www.camara.leg.br/internet/deputado/bandep/74474.jpg,
74651,https://dadosabertos.camara.leg.br/api/v2/deputados/74651,CARLOS MELLES,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,MG,51,https://www.camara.leg.br/internet/deputado/bandep/74651.jpg,
74652,https://dadosabertos.camara.leg.br/api/v2/deputados/74652,CARLOS MOSCONI,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MG,51,https://www.camara.leg.br/internet/deputado/bandep/74652.jpg,
73825,https://dadosabertos.camara.leg.br/api/v2/deputados/73825,CARLOS NADER,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,RJ,51,https://www.camara.leg.br/internet/deputado/bandep/73825.jpg,
