id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email,dataInicio,dataFim,titulo,codTitulo
204541,https://dadosabertos.camara.leg.br/api/v2/deputados/204541,Eduardo Bismarck ,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,CE,56,https://www.camara.leg.br/internet/deputado/bandep/204541.jpg,,2021-02-03,2023-01-31,1º Suplente de Secretário,9
178951,https://dadosabertos.camara.leg.br/api/v2/deputados/178951,Rafael Motta ,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,RN,56,https://www.camara.leg.br/internet/deputado/bandep/178951.jpg,,2019-02-01,2021-02-01,1º Suplente de Secretário,9
204499,https://dadosabertos.camara.leg.br/api/v2/deputados/204499,Cássio Andrade ,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,PA,56,https://www.camara.leg.br/internet/deputado/bandep/204499.jpg,,2021-02-03,2023-01-31,4º Suplente de Secretário,12
74270,https://dadosabertos.camara.leg.br/api/v2/deputados/74270,Gilberto Nascimento ,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,SP,56,https://www.camara.leg.br/internet/deputado/bandep/74270.jpg,,2021-02-03,2023-01-31,2º Suplente de Secretário,10
204556,https://dadosabertos.camara.leg.br/api/v2/deputados/204556,Marcelo Ramos ,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,AM,56,https://www.camara.leg.br/internet/deputado/bandep/204556.jpg,,2021-02-03,2022-05-23,1º Vice-Presidente,2
74471,https://dadosabertos.camara.leg.br/api/v2/deputados/74471,André de Paula ,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PE,56,https://www.camara.leg.br/internet/deputado/bandep/74471.jpg,,2021-02-03,2023-01-02,2º Vice-Presidente,3
178953,https://dadosabertos.camara.leg.br/api/v2/deputados/178953,Expedito Netto ,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RO,56,https://www.camara.leg.br/internet/deputado/bandep/178953.jpg,,2020-07-08,2021-02-01,3º Secretário,7
74693,https://dadosabertos.camara.leg.br/api/v2/deputados/74693,Rodrigo Maia ,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/74693.jpg,,2019-02-01,2021-02-01,Presidente,1
178966,https://dadosabertos.camara.leg.br/api/v2/deputados/178966,Geovania de Sá ,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SC,56,https://www.camara.leg.br/internet/deputado/bandep/178966.jpg,,2022-05-25,2023-01-31,3º Secretário,7
178966,https://dadosabertos.camara.leg.br/api/v2/deputados/178966,Geovania de Sá ,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SC,56,https://www.camara.leg.br/internet/deputado/bandep/178966.jpg,,2019-02-01,2021-02-01,2º Suplente de Secretário,10
