id_parl,cargo,siglaUf,municipio,anoInicio,anoFim,siglaPartidoEleicao,uriPartidoEleicao
178939,Vereador(a),RJ,Rio de Janeiro,2009,2011,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
137983,Senador(a),MA,,1996,2002,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
178943,Deputado(a) Estadual,RJ,,2009,2011,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
178943,Deputado(a) Estadual,RJ,,2011,2015,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36814
178945,Vereador(a),RJ,Nova Iguaçu,2001,2004,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/36795
178945,Vereador(a),RJ,Nova Iguaçu,2005,2008,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815
178945,Vereador(a),RJ,Nova Iguaçu,2009,2010,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815
178945,Deputado(a) Estadual,RJ,,2011,2015,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815
178940,Vereador(a),RJ,São João de Meriti,2008,2012,PMN,https://dadosabertos.camara.leg.br/api/v2/partidos/36801
178950,Vereador(a),RN,Natal,1989,1990,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
178950,Deputado(a) Estadual,RN,,1991,1994,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
178950,Vereador(a),RN,Natal,1997,1998,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
178950,Deputado(a) Estadual,RN,,1999,2002,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
178950,Vice-Governador(a),RN,,2003,2006,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
178950,Deputado(a) Estadual,RN,,2007,2010,PMN,https://dadosabertos.camara.leg.br/api/v2/partidos/36801
178950,Deputado(a) Estadual,RN,,2011,2014,PMN,https://dadosabertos.camara.leg.br/api/v2/partidos/36801
178951,Vereador(a),RN,Natal,2013,2014,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/36809
178952,Deputado(a) Estadual,RN,,2007,2010,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
178952,Deputado(a) Estadual,RN,,2011,2015,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
178955,Deputado(a) Estadual,RO,,2007,2011,PTN,https://dadosabertos.camara.leg.br/api/v2/partidos/36848
178955,Deputado(a) Estadual,RO,,2011,2015,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36876
178955,Vereador(a),RO,Rolim de Moura,2001,2002,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
178957,Vereador(a),RR,Boa Vista,2012,0,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
178962,Deputado(a) Estadual,RS,,2007,2010,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815
178962,Deputado(a) Estadual,RS,,2011,2014,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815
178964,Deputado(a) Estadual,RS,,2011,2015,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
178966,Vereador(a),SC,Criciúma,2012,2015,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
178967,Prefeito(a),SC,Blumenau,2005,2008,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
178967,Deputado(a) Estadual,SC,,2003,2004,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
178967,Prefeito(a),SC,Blumenau,2009,2012,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769
178968,Vereador(a),SE,Aracaju,1995,1998,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
178968,Vereador(a),SE,Aracaju,1999,2002,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813
178968,Deputado(a) Estadual,SE,,2003,2006,PMN,https://dadosabertos.camara.leg.br/api/v2/partidos/36801
178968,Deputado(a) Estadual,SE,,2007,2010,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
178968,Deputado(a) Estadual,SE,,2011,2014,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
178969,Vereador(a),SE,Aracaju,2009,2012,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
178972,Deputado(a) Estadual,SP,,2007,2010,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813
178972,Vereador(a),SP,São Bernardo do Campo,2005,2007,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813
178972,Deputado(a) Estadual,SP,,2011,2014,PPS,https://dadosabertos.camara.leg.br/api/v2/partidos/36813
178973,Vereador(a),SP,Hortolândia,2005,2006,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
178973,Deputado(a) Estadual,SP,,2007,2015,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
178975,Vereador(a),SP,Ribeirão Preto,1993,2003,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
178975,Deputado(a) Estadual,SP,,2003,2015,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
178976,Deputado(a) Estadual,SP,,2007,2011,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
178976,Deputado(a) Estadual,SP,,2011,2015,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
178976,Vice-Prefeito(a),SP,São Paulo,2017,2018,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
178976,Prefeito(a),SP,São Paulo,2018,2021,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
178977,Prefeito(a),SP,São José dos Campos,2005,2008,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
178977,Prefeito(a),SP,São José dos Campos,2009,2012,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
178979,Vereador(a),SP,São Paulo,2009,2014,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
